threshold,median,avg,min,max,description
0.01,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Logistic regression
0.06170854271356784,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Random forest - Depth 1
0.06170854271356784,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Decision tree - Depth 1
0.09864321608040201,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Random forest - Depth 2
0.09864321608040201,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Decision tree - Depth 2
0.12080402010050251,0.5294836718847771,0.5307708620183642,0.4909090909090909,0.5729576839886861,Random forest - Depth 3
0.12080402010050251,0.5294836718847771,0.5307708620183642,0.4909090909090909,0.5729576839886861,Decision tree - Depth 3
0.14296482412060302,0.5294836718847771,0.5307708620183642,0.4909090909090909,0.5729576839886861,Random forest - Depth 4
0.14296482412060302,0.5294836718847771,0.5307708620183642,0.4909090909090909,0.5729576839886861,Decision tree - Depth 4
0.16758793969849248,0.5294836718847771,0.5307708620183642,0.4909090909090909,0.5729576839886861,Random forest - Depth 5
0.16758793969849248,0.5294836718847771,0.5307708620183642,0.4909090909090909,0.5729576839886861,Decision tree - Depth 5
0.20452261306532665,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Random forest - Depth 6
0.20452261306532665,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Decision tree - Depth 6
0.21929648241206032,0.5294836718847771,0.5290315859740863,0.4909090909090909,0.5670995670995671,Random forest - Depth 7
0.21929648241206032,0.5294836718847771,0.5290315859740863,0.4909090909090909,0.5670995670995671,Decision tree - Depth 7
0.21929648241206032,0.5294836718847771,0.5287749861048651,0.49053857350800584,0.5670995670995671,Random forest - Depth 8
0.21929648241206032,0.5294836718847771,0.5287749861048651,0.49053857350800584,0.5670995670995671,Decision tree - Depth 8
0.2586934673366834,0.5294836718847771,0.5294278769550348,0.49053857350800584,0.5670995670995671,Random forest - Depth 9
0.2586934673366834,0.5294836718847771,0.5294278769550348,0.49053857350800584,0.5670995670995671,Decision tree - Depth 9
0.3005527638190955,0.5294836718847771,0.5294278769550348,0.49053857350800584,0.5670995670995671,Random forest - Depth 10
0.3005527638190955,0.5294836718847771,0.5294278769550348,0.49053857350800584,0.5670995670995671,Decision tree - Depth 10
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 50
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 51
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 52
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 53
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 54
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 55
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 56
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 57
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 58
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 59
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 60
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 61
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 62
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 63
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 64
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 65
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 66
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 67
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 68
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 69
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 70
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 71
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 72
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 73
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 74
0.14296482412060302,0.5294836718847771,0.5302711357010282,0.4909090909090909,0.5729576839886861,Adaboost regressor - estimators: 75
